Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
Doctolib,Company,"Paris, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/ai-machine-learning-research-intern-x-f-m-at-doctolib-4378009214,Good ML fit; emphasize machine learning background. In France — apply in French or bilingual.,3,Overlaps with your machine learning experience.,LinkedIn
Huawei Canada,Company,"Markham, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/intern-researcher-ai-agent-evaluation-at-huawei-canada-4387983756,Good ML fit; emphasize agent background. Canada role — check visa/permit requirements for internships.,3,Overlaps with your agent experience.,LinkedIn
Huawei Canada,Company,"Markham, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/intern-researcher-ai-agent-at-huawei-canada-4385551601,Good ML fit; emphasize agent background. Canada role — check visa/permit requirements for internships.,3,Overlaps with your agent experience.,LinkedIn
Europ Assistance,Company,"St.-Denis, Île-de-France, France",Unknown,,https://fr.linkedin.com/jobs/view/agentic-ai-intern-at-europ-assistance-4399243703,Good ML fit; emphasize agent background. In France — apply in French or bilingual.,3,Overlaps with your agent experience.,LinkedIn
Mercura (YC W25),Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/ai-llm-engineering-intern-at-mercura-yc-w25-4398250338,Strong llm signal — lead with your LLM/Agentic project work. In Germany — English applications OK at most tech companies.,3,Directly matches your llm focus.,LinkedIn
GoodData,Company,"Prague, Prague, Czechia",Unknown,,https://cz.linkedin.com/jobs/view/frontend-engineer-react-intern-at-gooddata-4395978969,Strong rag signal — lead with your LLM/Agentic project work.,3,Directly matches your rag focus.,LinkedIn
BMW Group,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/intern-multimodal-agentic-ai-for-in-car-voice-assistant-f-m-x-at-bmw-group-4385028329,Good ML fit; emphasize agent background. In Germany — English applications OK at most tech companies.,3,Overlaps with your agent experience.,LinkedIn
AUMOVIO,Company,"Budapest, Budapest, Hungary",Unknown,,https://hu.linkedin.com/jobs/view/llm-innovation-intern-at-aumovio-4378795244,Strong llm signal — lead with your LLM/Agentic project work.,3,Directly matches your llm focus.,LinkedIn
BMW Group,Company,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/intern-agent-based-ai-systems-and-bmw-intelligent-personal-assistant-f-m-x-at-bmw-group-4374296081,Good ML fit; emphasize agent background. In Germany — English applications OK at most tech companies.,3,Overlaps with your agent experience.,LinkedIn
Unknown,Company,MÃ¼nchenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/muenchen-machine-learning-working-student-internship-148313451,Good ML fit; emphasize machine learning background.,3,Overlaps with your machine learning experience.,XING
Unknown,Company,ZÃ¼richÂ+ 0 more,Unknown,,https://www.xing.com/jobs/zuerich-internship-machine-learning-80-100-149432693,Good ML fit; emphasize machine learning background.,3,Overlaps with your machine learning experience.,XING
Unknown,Company,CrailsheimÂ+ 0 more,Unknown,,https://www.xing.com/jobs/crailsheim-praktikum-abschlussarbeit-bereich-machine-learning-amp-vision-systeme-152718887,Good ML fit; emphasize machine learning background.,3,Overlaps with your machine learning experience.,XING
Unknown,Company,BerlinÂ+ 0 more,Unknown,,https://www.xing.com/jobs/berlin-abschlussarbeit-praktikum-werkstudent-kuenstliche-intelligenz-ai-agentensysteme-153179358,Good ML fit; emphasize agent background. In Germany — English applications OK at most tech companies.,3,Overlaps with your agent experience.,XING
Unknown,Company,ZugÂ+ 0 more,Unknown,,https://www.xing.com/jobs/zug-praktikum-ki-agenten-automation-152470294,Good ML fit; emphasize agent background.,3,Overlaps with your agent experience.,XING
Unknown,Company,RÃ¼mlangÂ+ 0 more,Unknown,,https://www.xing.com/jobs/ruemlang-data-science-internship-wearables-sensor-data-80-100-153015054,Good ML fit; emphasize data science background.,3,Overlaps with your data science experience.,XING
Unknown,Company,StuttgartÂ+ 0 more,Unknown,,https://www.xing.com/jobs/stuttgart-intern-generative-agentic-ai-engineering-mandatory-internship-153041017,Good ML fit; emphasize agent background.,3,Overlaps with your agent experience.,XING
Unknown,Company,BerlinÂ+ 0 more,Remote possible (Medium),,https://www.xing.com/jobs/berlin-unpaid-internship-ai-ml-llms-image-generation-berlin-remote-149211932,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,XING
Vantage Data Centers,Company,,Remote possible (Medium),,,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,3,Directly matches your rag focus; remote/hybrid accessible from Tunisia.,Built In
1nce,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/1nce-product-owner-frontend-all,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,We Work Remotely
Speechify,Startup,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/speechify-software-engineer-web-core-product-chrome-extension,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,We Work Remotely
